"","image2","unique_pair","image1","image_path","target_id","distractor_id","text1","text2","full_phrase_language","full_phrase","trial_type_id","dataset_id","vanilla_trial"
"1","balti.png","0_26","wa.png","casillas_tseltal_2015",26,0,"tortilla","bucket","zxx","ila wil, wa, a!",0,0,1
"2","baso.png","1_20","si'.png","casillas_tseltal_2015",20,1,"firewood","cup","zxx","ila wil, si', .. .",1,0,1
"3","bojch.png","2_8","k'ajk'.png","casillas_tseltal_2015",8,2,"fire","bowl","zxx","ila wil, k'ajk', ya xba jletik!",2,0,1
"4","chenek'.png","3_7","ja'.png","casillas_tseltal_2015",7,3,"water","bean","zxx","ila wil, ja', a!",3,0,1
"5","chojak'.png","4_12","mes.png","casillas_tseltal_2015",12,4,"broom","purse","zxx","ila wil, mes, a!",4,0,1
"6","ich.png","3_5","chenek'.png","casillas_tseltal_2015",3,5,"bean","chile","zxx","ila wil, chenek', ya xba jletik!",5,0,1
"7","ixim.png","4_6","chojak'.png","casillas_tseltal_2015",4,6,"purse","corn","zxx","ila wil, chojak', a!",6,0,1
"8","ja'.png","7_21","t'inel.png","casillas_tseltal_2015",21,7,"doorway","water","zxx","ila wil, t'inel, .. .",7,0,1
"9","k'ajk'.png","8_14","moch.png","casillas_tseltal_2015",14,8,"basket","fire","zxx","ila wil, moch, .. .",8,0,1
"10","karo.png","9_11","machit.png","casillas_tseltal_2015",11,9,"machete","car","zxx","ila wil, machit, ya xba jletik!",9,0,1
"11","lo'bal.png","10_23","tomut.png","casillas_tseltal_2015",23,10,"egg","banana","zxx","ila wil, tomut, ya xba jletik!",10,0,1
"12","machit.png","11_13","mexa.png","casillas_tseltal_2015",13,11,"table","machete","zxx","ila wil, mexa, .. .",11,0,1
"13","mes.png","12_19","pelota.png","casillas_tseltal_2015",19,12,"ball","broom","zxx","ila wil, pelota, a!",12,0,1
"14","mexa.png","13_27","waybal.png","casillas_tseltal_2015",27,13,"bed","table","zxx","ila wil, waybal, ya xba jletik!",13,0,1
"15","moch.png","10_14","lo'bal.png","casillas_tseltal_2015",10,14,"banana","basket","zxx","ila wil, lo'bal, a!",14,0,1
"16","mut.png","15_24","tz'i.png","casillas_tseltal_2015",24,15,"dog","chicken","zxx","ila wil, tz'i, ya xba jletik!",15,0,1
"17","na.png","16_29","xila.png","casillas_tseltal_2015",29,16,"chair","house","zxx","ila wil, xila, .. .",16,0,1
"18","nichim.png","17_22","te.png","casillas_tseltal_2015",22,17,"tree","flower","zxx","ila wil, te, .. .",17,0,1
"19","p'in.png","16_18","na.png","casillas_tseltal_2015",16,18,"house","pot","zxx","ila wil, na, ya xba jletik!",18,0,1
"20","pelota.png","0_19","balti.png","casillas_tseltal_2015",0,19,"bucket","ball","zxx","ila wil, balti, .. .",19,0,1
"21","si'.png","18_20","p'in.png","casillas_tseltal_2015",18,20,"pot","firewood","zxx","ila wil, p'in, a!",20,0,1
"22","t'inel.png","5_21","ich.png","casillas_tseltal_2015",5,21,"chile","doorway","zxx","ila wil, ich, .. .",21,0,1
"23","te.png","6_22","ixim.png","casillas_tseltal_2015",6,22,"corn","tree","zxx","ila wil, ixim, a!",22,0,1
"24","tomut.png","17_23","nichim.png","casillas_tseltal_2015",17,23,"flower","egg","zxx","ila wil, nichim, a!",23,0,1
"25","tz'i.png","24_28","xawin.png","casillas_tseltal_2015",28,24,"cat","dog","zxx","ila wil, xawin, ya xba jletik!",24,0,1
"26","tzek'.png","15_25","mut.png","casillas_tseltal_2015",15,25,"chicken","skirt","zxx","ila wil, mut, ya xba jletik!",25,0,1
